set,symbol
senmayo,ACVR1B
senmayo,ANG
senmayo,ANGPT1
senmayo,ANGPTL4
senmayo,AREG
senmayo,AXL
senmayo,BEX3
senmayo,BMP2
senmayo,BMP6
senmayo,C3
senmayo,CCL1
senmayo,CCL13
senmayo,CCL16
senmayo,CCL2
senmayo,CCL20
senmayo,CCL24
senmayo,CCL26
senmayo,CCL3
senmayo,CCL3L1
senmayo,CCL4
senmayo,CCL5
senmayo,CCL7
senmayo,CCL8
senmayo,CD55
senmayo,CD9
senmayo,CSF1
senmayo,CSF2
senmayo,CSF2RB
senmayo,CST4
senmayo,CTNNB1
senmayo,CTSB
senmayo,CXCL1
senmayo,CXCL10
senmayo,CXCL12
senmayo,CXCL16
senmayo,CXCL2
senmayo,CXCL3
senmayo,CXCL8
senmayo,CXCR2
senmayo,DKK1
senmayo,EDN1
senmayo,EGF
senmayo,EGFR
senmayo,EREG
senmayo,ESM1
senmayo,ETS2
senmayo,FAS
senmayo,FGF1
senmayo,FGF2
senmayo,FGF7
senmayo,GDF15
senmayo,GEM
senmayo,GMFG
senmayo,HGF
senmayo,HMGB1
senmayo,ICAM1
senmayo,ICAM3
senmayo,IGF1
senmayo,IGFBP1
senmayo,IGFBP2
senmayo,IGFBP3
senmayo,IGFBP4
senmayo,IGFBP5
senmayo,IGFBP6
senmayo,IGFBP7
senmayo,IL10
senmayo,IL13
senmayo,IL15
senmayo,IL18
senmayo,IL1A
senmayo,IL1B
senmayo,IL2
senmayo,IL32
senmayo,IL6
senmayo,IL6ST
senmayo,IL7
senmayo,INHA
senmayo,IQGAP2
senmayo,ITGA2
senmayo,ITPKA
senmayo,JUN
senmayo,KITLG
senmayo,LCP1
senmayo,MIF
senmayo,MMP1
senmayo,MMP10
senmayo,MMP12
senmayo,MMP13
senmayo,MMP14
senmayo,MMP2
senmayo,MMP3
senmayo,MMP9
senmayo,NAP1L4
senmayo,NRG1
senmayo,PAPPA
senmayo,PECAM1
senmayo,PGF
senmayo,PIGF
senmayo,PLAT
senmayo,PLAU
senmayo,PLAUR
senmayo,PTBP1
senmayo,PTGER2
senmayo,PTGES
senmayo,RPS6KA5
senmayo,SCAMP4
senmayo,SELPLG
senmayo,SEMA3F
senmayo,SERPINB4
senmayo,SERPINE1
senmayo,SERPINE2
senmayo,SPP1
senmayo,SPX
senmayo,TIMP2
senmayo,TNF
senmayo,TNFRSF10C
senmayo,TNFRSF11B
senmayo,TNFRSF1A
senmayo,TNFRSF1B
senmayo,TUBGCP2
senmayo,VEGFA
senmayo,VEGFC
senmayo,VGF
senmayo,WNT16
senmayo,WNT2